класс;текст
1; сколько стоит создание лендинга на заказ
1; требуется разработка сайта для itкомпании
1; можете сделать мне сайт для учебного заведения
1; нужен лендинг для бизнесуслуг
2;я хотел бы заказать разработку мобильного приложения для android
2;можете ли вы создать для меня приложение для ios
2;мне нужно мобильное приложение которое будет работать на обеих платформах  android и ios
2;какие сроки и стоимость разработки приложения под android
2;интересует создание мобильного приложения для моего бизнеса
2;могут ли ваши разработчики создать приложение для iphone
2;мне необходимо мобильное приложение с возможностью онлайнплатежей
2;можете разработать мобильное приложение для управления умным домом
2;какова стоимость создания приложения для ios
2;мне нужно приложение которое будет синхронизироваться с вебсайтом
2;интересует разработка кроссплатформенного мобильного приложения
2;можно ли у вас заказать создание androidприложения
2;хочу мобильное приложение с функцией чата
2;ваши специалисты могут сделать приложение для ipad
2;нужен мобильный сервис для доставки еды вы можете помочь
2;мне нужно приложение для онлайнкурсов
2;можете ли вы создать приложение для бронирования гостиниц
2;интересует разработка приложения для фитнестрекера
2;хочу заказать разработку игры для мобильных устройств
2;можете создать приложение для учета личных финансов
2;мне нужно приложение для планирования задач
2;могут ли ваши разработчики создать медицинское приложение
2;интересует создание музыкального плеера для android
2;мне нужно приложение для отслеживания посылок
2;можете разработать приложение для онлайнторговли
2;нужен мобильный калькулятор для расчетов в строительстве
2;интересует создание приложения для заказа такси
2;могут ли ваши специалисты разработать приложение для фотографий
2;мне нужно приложение для проведения опросов
2;можете создать приложение для планирования путешествий
2;хочу мобильное приложение для обучения языкам
2;интересует разработка социальной сети для мобильных устройств
2;можете создать приложение для управления персоналом
2;мне нужно мобильное приложение для тренировки памяти
2;интересует создание приложения для бронирования столиков в ресторанах
2;можете сделать приложение для покупок с функцией сканирования штрихкодов
2;нужен мобильный клиент для чтения новостей
2;хочу заказать разработку приложения для видеоконференций
2;можете создать приложение для учета времени
2;интересует разработка мобильного приложения для банка
2;нужно приложение для спортивных тренировок
2;могут ли ваши разработчики создать мобильный дневник
2;интересует создание приложения для управления запасами
2;мне нужно приложение для бронирования билетов на мероприятия
2;можете разработать мобильное приложение для парковки
2;хочу мобильное приложение для учета калорий
2;интересует разработка приложения для медитаций
2;нужно приложение для мониторинга здоровья
2;можете создать мобильное приложение для управления проектами
2;интересует создание приложения для поиска работы
2;мне нужно мобильное приложение для анализа данных
2;могут ли ваши разработчики создать музыкальное приложение
2;интересует разработка приложения для управления складом
2;можете сделать приложение для ведения бухгалтерии
2;мне нужно мобильное приложение для консультаций врачей
2;интересует создание приложения для бронирования автомобилей
2;могут ли ваши разработчики создать приложение для продаж
2;хочу мобильное приложение для планирования свадеб
2;нужно приложение для управления социальными сетями
2;можете создать приложение для чтения книг
2;интересует разработка приложения для обучения программированию
2;мне нужно приложение для онлайнзаписи на прием
2;могут ли ваши специалисты создать приложение для игры в шахматы
2;интересует создание приложения для доставки товаров
2;нужно мобильное приложение для отслеживания рабочего времени
2;можете создать приложение для проведения вебинаров
2;интересует разработка приложения для расчета кредитов
2;мне нужно приложение для чтения комиксов
2;могут ли ваши разработчики создать приложение для рисования
2;интересует создание приложения для покупки билетов
2;нужно приложение для мониторинга сна
2;хочу мобильное приложение для тренировки мозга
2;можете создать приложение для просмотра фильмов
2;интересует разработка приложения для управления командой
2;мне нужно приложение для прослушивания подкастов
2;могут ли ваши специалисты создать приложение для доставки еды
2;интересует создание приложения для управления финансами
2;нужно мобильное приложение для заказа услуг
2;можете создать приложение для планирования событий
2;хочу мобильное приложение для изучения математики
2;интересует разработка приложения для ведения дневника
2;мне нужно приложение для учета тренировок
2;могут ли ваши разработчики создать приложение для онлайнмагазина
2;интересует создание приложения для настройки умного дома
2;нужно приложение для управления задачами
2;можете создать мобильное приложение для коучинга
2;хочу мобильное приложение для учета расходов
2;интересует разработка приложения для фитнеса
2;мне нужно приложение для онлайнобразования
2;могут ли ваши специалисты создать приложение для бронирования авиабилетов
2;интересует создание приложения для управления контактами
2;нужно мобильное приложение для сканирования документов
2;можете создать приложение для чтения новостей
2;хочу мобильное приложение для бронирования спортзалов
2;интересует разработка приложения для анализа рынка
2;мне нужно приложение для поиска ресторанов
2;могут ли ваши разработчики создать приложение для управления клиентами
2;интересует создание приложения для хранения заметок
2;нужно приложение для организации мероприятий
2;можете создать приложение для доставки продуктов
3;можете ли вы создать для меня 3d модель дома
3;мне нужна 3d модель персонажа для игры можете помочь
3;какие у вас цены на создание 3d моделей в blender
3;можете ли вы сделать 3d модель автомобиля
3;я ищу специалиста по созданию 3d моделей можете помочь
3;сколько времени займет сделать 3d модель мебели
3;можете ли вы создать 3d модель по фотографии
3;мне нужно 3d моделирование интерьера вы можете это сделать
3;какие форматы 3d моделей вы поддерживаете
3;я хочу заказать 3d модель персонажа сколько это будет стоить
3;можно ли у вас заказать создание 3d модели здания
3;как долго вы делаете 3d модели
3;мне нужна 3d модель для печати вы делаете такие вещи
3;можете ли вы сделать 3d модель для анимации
3;мне нужна качественная 3d модель для проекта можете помочь
3;сколько стоит 3d моделирование в blender
3;я хочу сделать 3d модель машины можете помочь
3;можете ли вы создать 3d модель по чертежам
3;какие примеры 3d моделей вы уже делали
3;мне нужна 3d модель для визуализации вы это делаете
3;можете ли вы сделать 3d модель комнаты
3;я ищу услуги по созданию 3d моделей вы можете это сделать
3;сколько будет стоить создание 3d модели человека
3;можете ли вы сделать 3d модель для игры
3;какие сроки создания 3d моделей у вас
3;мне нужна 3d модель персонажа для анимации можете помочь
3;можете ли вы сделать 3d модель животных
3;я хочу заказать 3d модель здания вы можете это сделать
3;сколько будет стоить создание 3d модели машины
3;можете ли вы сделать 3d модель мебели по фото
3;мне нужна 3d модель для визуализации интерьера можете помочь
3;какие у вас условия работы над 3d моделями
3;можете ли вы сделать 3d модель техники
3;я хочу заказать 3d модель персонажа для игры сколько это будет стоить
3;можете ли вы создать 3d модель по эскизам
3;сколько времени займет создание 3d модели дома
3;можете ли вы сделать 3d модель по чертежу
3;мне нужна 3d модель для проектирования можете помочь
3;сколько стоит создание 3d модели для печати
3;можете ли вы сделать 3d модель персонажа для фильма
3;какие программы вы используете для создания 3d моделей
3;мне нужна 3d модель для рекламы вы это делаете
3;можете ли вы создать 3d модель по описанию
3;сколько будет стоить 3d моделирование здания
3;можете ли вы сделать 3d модель для презентации
3;какие форматы 3d моделей вы можете предоставить
3;мне нужна 3d модель персонажа вы это делаете
3;можете ли вы сделать 3d модель сцены
3;сколько времени займет создание 3d модели интерьера
3;мне нужна 3d модель для проекта вы можете помочь
3;можете ли вы сделать 3d модель для arvr
3;сколько будет стоить создание 3d модели техники
3;можете ли вы сделать 3d модель анимационного персонажа
3;мне нужна 3d модель для архитектурного проекта можете помочь
3;какие услуги по 3d моделированию вы предоставляете
3;можете ли вы создать 3d модель по рисунку
3;сколько стоит создание 3d модели мебели
3;можете ли вы сделать 3d модель здания для визуализации
3;мне нужна 3d модель для проектной документации вы это делаете
3;можете ли вы сделать 3d модель животного для игры
3;сколько будет стоить 3d моделирование интерьера
3;можете ли вы создать 3d модель здания по чертежам
3;мне нужна 3d модель для виртуальной экскурсии вы это делаете
3;можете ли вы сделать 3d модель транспорта
3;сколько времени займет создание 3d модели техники
3;можете ли вы сделать 3d модель по 2d эскизам
3;мне нужна 3d модель для рекламного ролика можете помочь
3;можете ли вы создать 3d модель персонажа для анимации
3;какие у вас расценки на 3d моделирование
3;можете ли вы сделать 3d модель для научной визуализации
3;мне нужна 3d модель дома для визуализации вы это делаете
3;можете ли вы создать 3d модель по концепту
3;сколько будет стоить создание 3d модели интерьера
3;можете ли вы сделать 3d модель здания для архитектурного проекта
3;мне нужна 3d модель для визуализации продукции можете помочь
3;можете ли вы сделать 3d модель механизма
3;какие сроки создания 3d модели здания
3;можете ли вы сделать 3d модель анимационного персонажа для игры
3;мне нужна 3d модель для инженерного проекта вы это делаете
3;можете ли вы создать 3d модель по фотографии и чертежам
3;сколько стоит создание 3d модели персонажа
3;можете ли вы сделать 3d модель для архитектурной визуализации
3;мне нужна 3d модель мебели для каталога вы это делаете
3;можете ли вы сделать 3d модель персонажа для игры и анимации
3;сколько будет стоить создание 3d модели для рекламы
3;можете ли вы сделать 3d модель транспорта для игры
3;мне нужна 3d модель здания для проекта вы это делаете
3;можете ли вы создать 3d модель по эскизу и описанию
3;сколько стоит 3d моделирование техники
3;можете ли вы сделать 3d модель для фильма
3;мне нужна 3d модель персонажа для рекламы можете помочь
3;можете ли вы сделать 3d модель интерьера для визуализации
3;сколько времени займет создание 3d модели мебели
3;можете ли вы сделать 3d модель сцены для фильма
3;мне нужна 3d модель для виртуальной реальности вы это делаете
3;можете ли вы создать 3d модель по чертежам и фотографиям
3;сколько будет стоить создание 3d модели для анимации
3;можете ли вы сделать 3d модель транспортного средства
3;мне нужна 3d модель для презентации продукта можете помочь
3;можете ли вы сделать 3d модель для виртуальной экскурсии
